date,CPI,INFLATION,FEDERAL_FUNDS_RATE,REAL_GDP,REAL_GDP_PER_CAPITA,UNEMPLOYMENT,NONFARM_PAYROLL,DURABLES,RETAIL_SALES
1992-02-01,138.6,3.02881967814969,4.06,10398.046,40051.0,7.4,106979.0,118429.0,127022.0
1992-03-01,139.3,3.02881967814969,3.98,10398.046,40051.0,7.4,107495.0,129309.0,137978.0
1992-04-01,139.5,3.02881967814969,3.73,10398.046,40350.0,7.4,108331.0,123268.0,142314.0
1992-05-01,139.7,3.02881967814969,3.82,10398.046,40350.0,7.6,109137.0,122274.0,147550.0
1992-06-01,140.2,3.02881967814969,3.76,10398.046,40350.0,7.8,109625.0,131268.0,146991.0
1992-07-01,140.5,3.02881967814969,3.25,10398.046,40599.0,7.7,108608.0,103025.0,147657.0
1992-08-01,140.9,3.02881967814969,3.3,10398.046,40599.0,7.6,108664.0,113623.0,147901.0
1992-09-01,141.3,3.02881967814969,3.22,10398.046,40599.0,7.6,109449.0,126277.0,143808.0
1992-10-01,141.8,3.02881967814969,3.1,10398.046,40881.0,7.3,110036.0,131334.0,151260.0
1992-11-01,142.0,3.02881967814969,3.09,10398.046,40881.0,7.4,110275.0,121759.0,150571.0
1992-12-01,141.9,3.02881967814969,2.92,10398.046,40881.0,7.4,110265.0,131937.0,186520.0
1993-01-01,142.6,2.95165696638559,3.02,10684.179,40829.0,7.3,108098.0,115794.0,133217.0
1993-02-01,143.1,2.95165696638559,3.03,10684.179,40829.0,7.1,108702.0,130164.0,130321.0
1993-03-01,143.6,2.95165696638559,3.07,10684.179,40829.0,7.0,109136.0,138668.0,148430.0
1993-04-01,144.0,2.95165696638559,2.96,10684.179,40942.0,7.1,110140.0,126589.0,153623.0
1993-05-01,144.2,2.95165696638559,3.0,10684.179,40942.0,7.1,111103.0,123210.0,158325.0
1993-06-01,144.4,2.95165696638559,3.04,10684.179,40942.0,7.0,111692.0,138459.0,157935.0
1993-07-01,144.4,2.95165696638559,3.06,10684.179,40997.0,6.9,110825.0,107698.0,159382.0
1993-08-01,144.8,2.95165696638559,3.03,10684.179,40997.0,6.8,110935.0,124150.0,159264.0
1993-09-01,145.1,2.95165696638559,3.09,10684.179,40997.0,6.7,111926.0,134114.0,154669.0
1993-10-01,145.7,2.95165696638559,2.99,10684.179,41423.0,6.8,112590.0,135483.0,159213.0
1993-11-01,145.8,2.95165696638559,3.02,10684.179,41423.0,6.6,112935.0,131460.0,165372.0
1993-12-01,145.8,2.95165696638559,2.96,10684.179,41423.0,6.5,113085.0,138273.0,201200.0
1994-01-01,146.2,2.60744159215453,3.05,11114.647,41713.0,6.6,110833.0,131392.0,141534.0
1994-02-01,146.7,2.60744159215453,3.25,11114.647,41713.0,6.6,111414.0,139057.0,142096.0
1994-03-01,147.2,2.60744159215453,3.34,11114.647,41713.0,6.5,112389.0,149256.0,168571.0
1994-04-01,147.4,2.60744159215453,3.56,11114.647,42154.0,6.4,113467.0,137847.0,165664.0
1994-05-01,147.5,2.60744159215453,4.01,11114.647,42154.0,6.1,114479.0,140366.0,170292.0
1994-06-01,148.0,2.60744159215453,4.25,11114.647,42154.0,6.1,115271.0,155070.0,173036.0
1994-07-01,148.4,2.60744159215453,4.26,11114.647,42264.0,6.1,114325.0,119501.0,168000.0
1994-08-01,149.0,2.60744159215453,4.47,11114.647,42264.0,6.0,114634.0,142852.0,177283.0
1994-09-01,149.4,2.60744159215453,4.73,11114.647,42264.0,5.9,115693.0,153625.0,170304.0
1994-10-01,149.5,2.60744159215453,4.76,11114.647,42618.0,5.8,116319.0,151572.0,173559.0
1994-11-01,149.7,2.60744159215453,5.29,11114.647,42618.0,5.6,116926.0,150202.0,179547.0
1994-12-01,149.7,2.60744159215453,5.45,11114.647,42618.0,5.5,116963.0,154895.0,216404.0
1995-01-01,150.3,2.80541968853662,5.53,11413.012,42654.0,5.6,114655.0,143440.0,154048.0
1995-02-01,150.9,2.80541968853662,5.92,11413.012,42654.0,5.4,115315.0,156606.0,150654.0
1995-03-01,151.4,2.80541968853662,5.98,11413.012,42654.0,5.4,116071.0,167745.0,176579.0
1995-04-01,151.9,2.80541968853662,6.05,11413.012,42660.0,5.8,116902.0,146225.0,171509.0
1995-05-01,152.2,2.80541968853662,6.01,11413.012,42660.0,5.6,117625.0,151770.0,184842.0
1995-06-01,152.5,2.80541968853662,6.0,11413.012,42660.0,5.6,118340.0,161688.0,186041.0
1995-07-01,152.5,2.80541968853662,5.85,11413.012,42885.0,5.7,117106.0,123259.0,177637.0
1995-08-01,152.9,2.80541968853662,5.74,11413.012,42885.0,5.7,117370.0,151465.0,188151.0
